title,text,label
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 190.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 194.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 129.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 142.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 68.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 175.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 158.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 3.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 69.,0
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 193.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 124.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 50.,0
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 243.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 95.,1
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 91.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 43.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 70.,0
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 139.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 207.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 7.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 194.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 132.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 23.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 37.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 247.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 214.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 233.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 85.,1
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 6.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 214.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 123.,0
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 42.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 148.,0
